,Encodings,effort
0,[0. 0. 0. ... 0. 0. 0.],4800
1,[0. 0. 0. ... 0. 0. 0.],1800
2,[0. 0. 0. ... 0. 0. 0.],1800
3,[0. 0. 0. ... 0. 0. 0.],1200
4,[0. 0. 0. ... 0. 0. 0.],2400
5,[0. 0. 0. ... 0. 0. 0.],2400
6,[0. 0. 0. ... 0. 0. 0.],1800
7,[0. 0. 0. ... 0. 0. 0.],3600
8,[0. 0. 0. ... 0. 2. 0.],4200
9,[0. 0. 0. ... 0. 0. 0.],2400
10,[0. 0. 0. ... 0. 0. 0.],9600
11,[0. 0. 0. ... 0. 1. 0.],600
12,[0. 0. 0. ... 0. 0. 0.],1200
13,[0. 0. 0. ... 0. 1. 0.],1200
14,[0. 0. 0. ... 0. 0. 0.],1800
15,[0. 0. 0. ... 0. 0. 0.],7200
16,[0. 0. 0. ... 0. 0. 0.],1800
17,[0. 0. 0. ... 0. 0. 0.],1800
18,[0. 0. 0. ... 0. 0. 0.],4800
19,[0. 0. 0. ... 0. 0. 0.],5400
20,[0. 0. 0. ... 0. 1. 0.],6000
21,[0. 0. 0. ... 0. 0. 0.],2400
22,[0. 0. 0. ... 0. 0. 0.],5400
23,[0. 0. 0. ... 0. 0. 0.],600
24,[0. 0. 0. ... 0. 0. 0.],3600
25,[0. 0. 0. ... 0. 0. 0.],8400
26,[0. 0. 0. ... 0. 0. 0.],1800
27,[0. 0. 0. ... 0. 0. 0.],1200
28,[0. 0. 0. ... 0. 0. 0.],4800
29,[0. 0. 0. ... 0. 0. 0.],8400
30,[0. 0. 0. ... 0. 0. 0.],4200
31,[0. 0. 0. ... 0. 0. 0.],2400
32,[0. 0. 0. ... 0. 0. 0.],25200
33,[0. 0. 0. ... 0. 1. 0.],12000
34,[0. 0. 0. ... 0. 2. 0.],7200
35,[0. 0. 0. ... 0. 0. 0.],4200
36,[0. 0. 0. ... 0. 0. 0.],6600
37,[0. 0. 0. ... 0. 0. 0.],5400
38,[0. 0. 0. ... 0. 2. 0.],2400
39,[0. 0. 0. ... 0. 0. 0.],3000
40,[0. 0. 0. ... 0. 6. 0.],4200
41,[0. 0. 0. ... 0. 0. 0.],1800
42,[0. 0. 0. ... 0. 0. 0.],9600
43,[0. 0. 0. ... 0. 1. 0.],4200
44,[0. 0. 0. ... 0. 0. 0.],4200
45,[0. 0. 0. ... 0. 0. 0.],3600
46,[0. 0. 0. ... 0. 0. 0.],4200
47,[0. 0. 0. ... 0. 0. 0.],4200
48,[0. 0. 0. ... 0. 0. 0.],10800
49,[0. 0. 0. ... 0. 0. 0.],5400
50,[0. 0. 0. ... 0. 1. 0.],9000
51,[0. 0. 0. ... 0. 1. 0.],3000
52,[0. 0. 0. ... 0. 0. 0.],3000
53,[0. 0. 0. ... 0. 0. 0.],3600
54,[0. 0. 0. ... 0. 0. 0.],5400
55,[0. 0. 0. ... 0. 0. 0.],3600
56,[0. 0. 0. ... 0. 0. 0.],11400
57,[0. 0. 0. ... 0. 0. 0.],2400
58,[0. 0. 0. ... 0. 0. 0.],1200
59,[0. 0. 0. ... 0. 1. 0.],15600
60,[0. 0. 0. ... 0. 0. 0.],13800
61,[0. 0. 0. ... 0. 0. 0.],2400
62,[0. 0. 0. ... 0. 0. 0.],5400
63,[0. 0. 0. ... 0. 1. 0.],13800
64,[0. 0. 0. ... 0. 0. 0.],3000
65,[0. 0. 0. ... 0. 0. 0.],4200
66,[0. 0. 0. ... 0. 2. 0.],11400
67,[0. 0. 0. ... 0. 0. 0.],7800
68,[0. 0. 0. ... 0. 0. 0.],6600
69,[0. 0. 0. ... 0. 1. 0.],3000
70,[0. 0. 0. ... 0. 0. 0.],4200
71,[0. 0. 0. ... 0. 0. 0.],6600
72,[0. 0. 0. ... 0. 0. 0.],28200
73,[0. 0. 0. ... 0. 0. 0.],8400
